required_car_parking_space,lead_time,arrival_year,arrival_month,arrival_date,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,no_of_special_requests,type_of_meal_plan_Meal Plan 2,type_of_meal_plan_Meal Plan 3,type_of_meal_plan_Not Selected,room_type_reserved_Room_Type 2,room_type_reserved_Room_Type 3,room_type_reserved_Room_Type 4,room_type_reserved_Room_Type 5,room_type_reserved_Room_Type 6,room_type_reserved_Room_Type 7,market_segment_type_Complementary,market_segment_type_Corporate,market_segment_type_Offline,market_segment_type_Online,booking_status_Not_Canceled,total_guests,total_nights,avg_price_per_room
0,26,2017,10,17,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,True,3,3,161.0
0,98,2018,7,16,0,0,0,2,False,False,False,False,False,False,False,False,False,False,False,False,True,True,3,2,121.5
0,433,2018,9,8,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,2,3,70.0
0,195,2018,8,8,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,True,2,7,72.25
0,188,2018,6,15,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1,2,130.0
0,74,2018,4,6,0,0,0,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,3,3,112.5
0,273,2018,5,13,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,2,3,95.0
0,6,2018,12,15,0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,True,True,2,4,66.3
0,89,2018,3,21,0,0,0,1,False,False,False,False,False,False,False,False,False,False,False,False,True,True,2,7,83.66
0,56,2018,3,20,0,0,0,1,False,False,False,False,False,False,False,True,False,False,False,False,True,False,4,2,180.0
1,103,2018,7,12,0,0,0,1,False,False,False,False,False,False,False,False,False,False,False,False,True,True,2,6,114.3
0,155,2018,8,30,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1,15,117.42
0,3,2018,6,11,0,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,True,True,2,1,128.8
0,180,2018,10,10,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1,3,120.0
0,92,2018,7,12,0,0,0,2,False,False,False,False,False,False,False,False,False,False,False,False,True,True,2,4,89.85
0,56,2017,9,17,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,True,False,True,2,2,82.0
0,279,2018,10,12,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,2,3,110.0
0,134,2018,8,10,0,0,0,1,False,False,False,False,False,False,False,False,False,False,False,False,True,True,2,2,114.3
0,8,2018,3,25,0,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,True,True,2,2,139.0
0,10,2018,4,29,0,0,0,2,False,False,False,False,False,True,False,False,False,False,False,False,True,True,3,4,172.0
0,2,2018,8,21,0,0,0,1,False,False,False,False,False,False,False,False,False,False,False,False,True,True,2,2,148.0
0,52,2018,2,26,0,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,True,False,2,3,79.5
0,116,2018,2,28,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1,3,61.0
0,89,2018,7,21,0,0,0,0,False,False,False,False,False,False,False,True,False,False,False,False,True,False,4,2,186.3
0,193,2018,6,20,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,2,3,120.0
0,92,2018,11,11,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,True,2,1,90.0
0,95,2018,7,1,0,0,0,1,False,False,False,False,False,False,False,False,False,False,False,False,True,True,3,5,130.5
0,6,2018,2,4,0,0,0,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,3,4,109.0
0,60,2018,4,1,0,0,0,1,False,False,False,False,False,True,False,False,False,False,False,False,True,True,2,3,106.2
0,359,2018,9,16,0,0,0,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,2,4,105.0
0,67,2018,11,23,0,0,0,2,False,False,False,False,False,False,False,False,False,False,False,False,True,False,2,4,88.4
0,177,2018,8,3,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,3,5,123.75
0,101,2018,4,12,0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,True,True,2,6,54.06
0,15,2018,2,19,0,0,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,True,1,1,80.0
0,30,2018,8,31,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,True,1,1,94.2
0,89,2018,5,8,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,True,2,4,128.85
0,21,2017,9,29,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,2,4,133.5
0,6,2017,8,5,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,True,2,6,70.0
0,135,2018,6,16,0,0,0,2,False,False,False,False,False,False,False,False,False,False,False,False,True,True,2,4,119.85
0,1,2018,3,2,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,True,1,1,0.0
0,37,2017,9,21,0,0,0,2,False,False,False,False,False,False,False,False,False,False,False,False,True,True,2,4,145.8
0,45,2018,11,7,0,0,0,1,False,False,False,False,False,False,False,False,False,False,False,True,False,True,2,7,75.0
0,168,2018,8,12,0,0,0,2,False,False,False,False,False,False,False,False,False,False,False,True,False,True,2,5,72.25
0,143,2018,6,2,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,2,5,100.3
0,25,2018,11,29,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,True,1,1,75.2
0,102,2017,10,16,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,2,2,101.5
0,4,2017,12,5,0,0,0,2,False,False,False,False,False,False,False,False,False,False,False,True,False,True,3,4,81.6
0,108,2018,10,17,0,0,0,2,False,False,True,False,False,False,False,False,False,False,False,False,True,True,2,4,108.0
0,8,2018,7,28,1,1,17,1,False,False,False,False,False,False,False,False,False,False,True,False,False,True,1,1,65.0
0,56,2017,9,25,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,True,2,4,185.0
0,12,2018,8,19,0,0,0,0,False,False,False,False,False,False,False,True,False,False,False,False,True,False,4,1,220.0
0,0,2017,8,23,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,True,1,1,80.0
0,37,2018,10,30,0,0,0,1,False,False,False,False,False,False,False,False,False,False,False,True,False,True,2,3,75.0
0,0,2018,5,9,0,0,0,0,False,False,False,False,False,True,False,False,False,False,False,False,True,True,3,2,158.0
0,39,2017,8,14,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,True,False,True,1,2,87.0
1,36,2018,4,8,0,0,0,0,False,False,False,False,False,False,False,True,False,False,False,False,True,True,2,1,103.95
0,63,2018,7,26,0,0,0,2,False,False,False,False,False,False,True,False,False,False,False,True,False,True,3,5,131.75
0,87,2018,5,29,0,0,0,1,False,False,False,True,False,False,False,False,False,False,False,False,True,True,2,4,112.01
0,58,2017,11,13,0,0,0,1,False,False,False,False,False,False,False,False,False,False,False,False,True,True,2,3,79.2
0,301,2018,11,18,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,2,2,52.0
0,346,2018,9,13,0,0,0,1,True,False,False,False,False,False,False,False,False,False,False,False,True,False,2,2,115.0
0,361,2018,11,4,1,1,0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1,1,91.0
1,3,2018,6,6,1,0,3,0,False,False,False,False,False,False,False,False,False,False,True,False,False,True,1,1,65.0
0,49,2017,12,30,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,True,2,4,71.0
0,19,2018,5,7,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,True,1,1,135.0
0,74,2017,9,18,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,True,False,True,2,2,101.5
0,34,2018,6,14,0,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,True,True,2,3,107.1
0,73,2018,3,16,0,0,0,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,2,5,79.05
0,0,2018,11,25,0,0,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,True,1,1,67.0
0,94,2018,4,12,0,0,0,1,False,False,False,False,False,False,False,False,False,False,False,False,True,True,2,2,96.3
0,134,2018,5,9,0,0,0,1,False,False,False,False,False,False,False,False,False,False,False,False,True,True,2,5,76.58
0,1,2018,1,18,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,True,1,1,80.0
0,75,2018,7,30,0,0,0,1,False,False,False,False,False,True,False,False,False,False,False,False,True,True,2,1,127.8
0,100,2018,9,28,0,0,0,1,True,False,False,False,False,False,False,False,False,False,False,True,False,True,2,4,140.0
0,91,2018,6,18,0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,True,False,2,2,116.1
0,22,2018,10,11,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,True,2,3,95.0
0,13,2017,8,24,0,0,0,0,False,False,False,False,False,False,False,True,False,False,False,False,True,True,2,2,153.0
0,32,2017,11,20,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,True,1,2,73.0
0,63,2018,6,9,0,0,0,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,2,3,126.9
0,26,2018,9,5,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,3,4,127.2
0,296,2018,9,21,0,0,0,1,True,False,False,False,False,False,False,False,False,False,False,False,True,False,2,4,117.0
0,8,2018,4,5,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1,1,95.0
0,7,2018,8,13,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,2,3,130.67
0,263,2018,10,21,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,2,2,110.0
0,140,2017,12,29,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,True,2,5,70.0
0,131,2017,8,15,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,True,False,True,2,3,94.5
0,6,2018,3,3,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,3,3,137.0
1,219,2018,9,13,0,0,0,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,2,2,145.1
0,19,2018,7,18,0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,True,False,True,1,2,75.0
0,16,2017,10,1,0,0,0,4,False,False,False,False,False,False,False,False,False,False,False,False,True,True,3,2,142.0
0,57,2018,9,16,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,True,1,2,75.0
0,7,2017,9,14,0,0,0,1,False,False,False,False,False,False,False,False,False,False,False,False,True,True,2,3,152.0
1,18,2018,10,18,1,0,10,1,False,False,False,False,False,False,False,False,False,False,True,False,False,True,1,1,65.0
0,31,2018,11,14,0,0,0,1,False,False,False,False,False,False,False,False,False,False,False,False,True,True,2,7,64.67
0,6,2018,8,28,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,True,2,3,85.0
0,148,2017,12,30,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,True,2,5,67.0
0,63,2018,11,10,0,0,0,3,False,False,True,False,False,False,False,False,False,False,False,False,True,True,2,3,118.33
0,178,2018,8,23,0,0,0,0,False,False,False,True,False,False,False,False,False,False,False,False,True,False,2,3,94.62
0,151,2018,1,19,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,True,1,4,71.0
0,93,2017,12,3,0,0,0,2,False,False,False,False,False,False,False,False,False,False,False,False,True,True,2,4,72.25
0,102,2018,12,6,0,0,0,2,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1,2,86.4
0,167,2018,8,4,0,0,0,1,False,False,False,False,False,False,False,False,False,False,False,True,False,True,2,5,72.25
0,57,2018,10,30,0,0,0,1,False,False,False,False,False,False,False,False,False,False,False,False,True,True,2,3,103.8
0,181,2017,8,6,0,0,0,2,False,False,False,True,False,False,False,False,False,False,False,False,True,False,2,2,76.5
0,245,2018,9,22,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,2,7,107.59
0,49,2018,6,3,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,True,2,2,80.75
0,71,2018,6,14,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,True,1,3,120.0
0,44,2018,2,17,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,True,2,3,75.0
0,2,2018,6,26,0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,True,False,True,2,5,63.75
0,147,2018,6,28,0,0,0,2,False,False,False,False,False,False,False,False,False,False,False,False,True,True,3,7,106.25
0,0,2018,5,19,0,0,0,0,False,False,False,False,False,True,False,False,False,False,False,False,True,False,2,1,223.0
0,44,2018,2,12,0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,True,False,2,2,67.5
0,116,2018,3,25,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,2,4,59.5
0,11,2018,5,8,0,0,0,1,False,False,False,False,False,True,False,False,False,False,False,False,True,True,2,3,126.0
0,129,2018,8,6,0,0,0,1,False,False,False,False,False,False,False,False,False,False,False,False,True,True,2,1,114.3
0,13,2017,8,27,0,0,0,1,False,False,False,True,False,False,False,False,False,False,False,False,True,False,2,7,85.29
0,186,2018,9,2,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,True,2,4,80.75
0,20,2018,2,7,0,0,0,2,False,False,False,False,False,False,False,False,False,False,False,False,True,True,2,3,93.0
1,12,2018,2,15,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,True,1,4,95.0
0,10,2017,12,5,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,True,2,2,80.75
0,102,2018,11,7,0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,True,False,False,2,3,59.5
0,7,2018,8,8,0,0,0,0,False,False,False,False,False,True,False,False,False,False,True,False,False,True,1,1,94.0
0,26,2017,9,12,0,0,0,3,False,False,False,False,False,False,False,False,False,False,False,False,True,True,2,3,124.0
0,106,2018,4,17,0,0,0,1,False,False,False,False,False,True,False,False,False,False,False,False,True,True,2,4,90.95
0,320,2018,8,18,0,0,0,1,True,False,False,False,False,False,False,False,False,False,False,True,False,False,2,2,115.0
0,0,2017,11,30,1,0,1,1,False,False,False,False,False,False,False,False,False,False,False,False,True,True,1,10,69.0
0,13,2018,3,8,0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,True,True,2,2,81.0
0,15,2018,4,27,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,2,3,103.44
0,270,2018,4,20,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,True,2,4,80.0
0,102,2017,10,16,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,True,2,3,89.25
0,102,2017,10,16,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,True,False,True,1,2,87.0
0,1,2017,9,30,0,0,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,True,1,1,65.0
0,78,2018,9,29,0,0,0,1,False,False,False,False,False,False,False,False,False,False,False,True,False,True,2,3,95.0
0,112,2018,6,2,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,True,2,2,100.0
0,273,2017,7,17,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,2,2,109.0
0,25,2018,10,17,0,0,0,2,False,False,False,False,False,False,False,False,False,False,False,False,True,True,1,3,129.0
0,72,2018,10,30,0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,True,False,2,4,79.65
0,93,2017,8,15,0,0,0,2,False,False,False,False,False,False,False,False,False,False,False,False,True,False,2,5,76.5
0,91,2018,7,6,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,True,2,1,114.3
0,24,2018,9,11,0,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,True,True,2,2,71.69
0,5,2018,2,28,1,0,2,0,False,False,False,False,False,False,False,False,False,False,True,False,False,True,1,2,66.0
0,6,2018,12,1,0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,True,True,1,1,88.0
0,57,2018,8,10,0,0,0,1,False,False,False,False,False,False,False,False,False,False,False,False,True,True,2,2,135.9
0,14,2017,9,17,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,True,True,1,2,0.0
0,12,2018,12,14,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,True,1,1,75.2
0,5,2017,11,15,0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,True,True,1,1,73.15
0,99,2018,2,19,0,0,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,True,1,1,81.0
0,97,2018,4,30,0,0,0,1,False,False,False,False,False,False,False,False,False,False,False,False,True,True,2,7,109.81
0,56,2018,3,28,0,0,0,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,2,6,85.85
0,60,2018,9,3,0,0,0,1,False,False,False,False,False,True,False,False,False,False,False,False,True,False,2,2,123.3
0,8,2018,10,29,0,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,True,True,1,3,85.35
0,198,2018,9,22,0,0,0,1,False,False,False,False,False,True,False,False,False,False,False,False,True,False,3,3,159.3
0,163,2018,8,21,0,0,0,1,True,False,False,False,False,False,False,False,False,False,False,True,False,True,2,10,72.25
0,19,2018,9,23,0,0,0,1,False,False,False,False,False,False,False,False,False,False,False,False,True,True,1,3,117.81
0,20,2018,11,14,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,True,2,3,80.0
0,3,2017,9,7,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,True,1,2,98.8
0,1,2018,2,7,0,0,0,0,False,False,False,False,False,True,False,False,False,False,False,True,False,True,2,3,51.5
0,30,2018,1,31,0,0,0,1,False,False,False,False,False,True,False,False,False,False,False,False,True,True,2,2,79.6
0,118,2018,6,6,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,True,1,2,110.0
0,386,2018,10,23,0,0,0,1,True,False,False,False,False,False,False,False,False,False,False,False,True,False,2,2,115.0
0,186,2018,9,30,0,0,0,2,False,False,True,False,False,False,False,False,False,False,False,False,True,False,2,4,102.6
0,304,2018,11,3,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,2,3,89.0
0,2,2018,3,2,0,0,0,0,False,False,False,False,False,True,False,False,False,False,False,True,False,True,1,1,55.0
0,12,2017,10,5,0,0,0,0,False,False,False,False,False,True,False,False,False,False,False,True,False,True,1,3,75.0
0,9,2018,8,1,0,0,0,3,False,False,False,False,False,False,False,True,False,False,False,False,True,True,4,1,201.0
